pclass,sex=female,age,fare,survived
1,1,30,93.5,1
1,0,52,30.5,1
1,0,47,52,0
1,1,56,83.1583,1
1,0,38,0,0
1,0,?,39.6,1
1,0,22,135.6333,0
1,0,?,227.525,0
1,1,43,211.3375,1
1,0,31,50.4958,0
1,0,45,26.55,1
1,0,?,50,0
1,1,33,27.7208,1
1,0,46,79.2,0
1,0,36,40.125,0
1,1,33,86.5,1
1,0,55,59.4,0
1,1,54,59.4,1
1,0,33,26.55,0
1,0,13,262.375,1
1,1,18,262.375,1
1,1,21,262.375,1
1,0,61,262.375,0
1,1,48,262.375,1
1,0,?,30.5,1
1,1,24,69.3,1
1,0,?,26,1
1,1,35,57.75,1
1,1,30,31,1
1,0,34,26.55,1
1,1,40,153.4625,1
1,0,35,26.2875,1
1,0,50,55.9,0
1,1,39,55.9,1
1,0,56,35.5,1
1,0,28,35.5,1
1,0,56,26.55,0
1,0,56,30.6958,0
1,0,24,60,0
1,0,?,26,0
1,1,18,60,1
1,0,24,82.2667,1
1,1,23,82.2667,1
1,0,6,134.5,1
1,0,45,134.5,1
1,1,40,134.5,1
1,0,57,146.5208,0
1,1,?,146.5208,1
1,0,32,30.5,1
1,0,62,26.55,0
1,0,54,55.4417,1
1,1,43,55.4417,1
1,1,52,78.2667,1
1,0,?,27.7208,0
1,1,62,80,1
1,0,67,221.7792,0
1,1,63,221.7792,0
1,0,61,32.3208,0
1,1,48,25.9292,1
1,1,18,79.65,1
1,0,52,79.65,0
1,1,39,79.65,1
1,0,48,52,1
1,1,?,52,1
1,0,49,110.8833,0
1,0,17,110.8833,1
1,1,39,110.8833,1
1,1,?,79.2,1
1,0,31,28.5375,1
1,0,40,27.7208,0
1,0,61,33.5,0
1,0,47,34.0208,0
1,1,35,512.3292,1
1,0,64,75.25,0
1,1,60,75.25,1
1,0,60,26.55,0
1,0,54,77.2875,0
1,0,21,77.2875,0
1,1,55,135.6333,1
1,1,31,164.8667,1
1,0,57,164.8667,0
1,1,45,164.8667,1
1,0,50,211.5,0
1,0,27,211.5,0
1,1,50,211.5,1
1,1,21,26.55,1
1,0,51,61.3792,0
1,0,21,61.3792,1
1,0,?,35,0
1,1,31,134.5,1
1,0,?,35.5,1
1,0,62,26.55,0
1,1,36,135.6333,1
2,0,30,24,0
2,1,28,24,1
2,0,30,13,0
2,0,18,11.5,0
2,0,25,10.5,0
2,0,34,26,0
2,1,36,26,1
2,0,57,13,0
2,0,18,11.5,0
2,0,23,10.5,0
2,1,36,13,1
2,0,28,10.5,0
2,0,51,12.525,0
2,0,32,26,1
2,1,19,26,1
2,0,28,26,0
2,0,1,39,1
2,1,4,39,1
2,1,12,39,1
2,1,36,39,1
2,0,34,13,1
2,1,19,13,1
2,0,23,13,0
2,0,26,13,0
2,0,42,13,0
2,0,27,13,0
2,1,24,13,1
2,1,15,39,1
2,0,60,39,0
2,1,40,39,1
2,1,20,26,1
2,0,25,26,0
2,1,36,13,1
2,0,25,13,0
2,0,42,13,0
2,1,42,13,1
2,0,0.8333,29,1
2,0,26,29,1
2,1,22,29,1
2,1,35,21,1
2,0,?,0,0
2,0,19,13,0
2,1,44,26,0
2,0,54,26,0
2,0,52,13.5,0
2,0,37,26,0
2,1,29,26,0
2,1,25,30,1
2,1,45,30,1
2,0,29,26,0
2,1,28,26,1
2,0,29,10.5,0
2,0,28,13,0
2,0,24,10.5,1
2,1,8,26.25,1
2,0,31,26.25,0
2,1,31,26.25,1
2,1,22,10.5,1
2,1,30,13,0
2,1,?,21,0
2,0,21,11.5,0
2,0,?,0,0
2,0,8,36.75,1
2,0,18,73.5,0
2,1,48,36.75,1
2,1,28,13,1
2,0,32,13,0
2,0,17,73.5,0
2,0,29,27.7208,0
2,1,24,27.7208,1
2,0,25,31.5,0
2,0,18,73.5,0
2,1,18,23,1
2,1,34,23,1
2,0,54,26,0
2,0,8,32.5,1
2,0,42,32.5,0
2,1,34,32.5,1
2,1,27,13.8583,1
2,1,30,13.8583,1
2,0,23,13,0
2,0,21,13,0
2,0,18,13,0
2,0,40,26,0
2,1,29,26,1
2,0,18,10.5,0
2,0,36,13,0
2,0,?,0,0
2,1,38,13,0
2,0,35,26,0
2,0,38,21,0
2,0,34,21,0
2,1,34,13,1
2,0,16,26,0
2,0,26,10.5,0
2,0,47,10.5,0
2,0,21,11.5,0
2,0,21,11.5,0
2,0,24,13.5,0
2,0,24,13,0
2,0,34,13,0
2,0,30,13,0
2,0,52,13,0
2,0,30,13,0
2,0,0.6667,14.5,1
2,1,24,14.5,1
2,0,44,13,0
2,1,6,33,1
2,0,28,33,0
2,0,62,10.5,1
2,0,30,10.5,0
2,1,7,26.25,1
2,0,43,26.25,0
2,1,45,26.25,1
2,1,24,65,1
2,1,24,65,1
2,0,49,65,0
2,1,48,65,1
2,1,55,16,1
2,0,24,73.5,0
2,0,32,73.5,0
2,0,21,73.5,0
2,1,18,13,0
2,1,20,23,1
2,0,23,11.5,0
2,0,36,13,0
2,1,54,23,1
2,0,50,13,0
2,0,44,26,0
2,1,29,26,1
2,0,21,73.5,0
2,0,42,13,1
2,0,63,26,0
2,1,60,26,0
2,0,33,12.275,0
2,1,17,10.5,1
2,0,42,27,0
2,1,24,27,1
2,0,47,15,0
2,0,24,31.5,0
2,0,22,31.5,0
2,0,32,10.5,0
2,1,23,13.7917,1
2,0,34,26,0
2,1,24,26,1
2,1,22,21,0
2,1,?,12.35,1
2,0,35,12.35,0
2,1,45,13.5,1
2,0,57,12.35,0
2,0,?,0,0
2,0,31,10.5,0
2,1,26,26,0
2,0,30,26,0
2,0,?,10.7083,0
2,1,1,41.5792,1
2,1,3,41.5792,1
2,0,25,41.5792,0
2,1,22,41.5792,1
2,1,17,12,1
2,1,?,33,1
2,1,34,10.5,1
2,0,36,12.875,0
2,0,24,10.5,0
2,0,61,12.35,0
2,0,50,26,0
2,1,42,26,1
2,1,57,10.5,0
2,0,?,15.0458,0
2,0,1,37.0042,1
2,0,31,37.0042,0
2,1,24,37.0042,1
2,0,?,15.5792,0
2,0,30,13,0
2,0,40,16,0
2,0,32,13.5,0
2,0,30,13,0
2,0,46,26,0
2,1,13,19.5,1
2,1,41,19.5,1
2,0,19,10.5,1
2,0,39,13,0
2,0,48,13,0
2,0,70,10.5,0
2,0,27,13,0
2,0,54,14,0
2,0,39,26,0
2,0,16,10.5,0
2,0,62,9.6875,0
2,0,32.5,30.0708,0
2,1,14,30.0708,1
2,0,2,26,1
2,0,3,26,1
2,0,36.5,26,0
2,0,26,13,0
2,0,19,36.75,0
2,0,28,13.5,0
2,0,20,13.8625,1
2,1,29,10.5,1
2,0,39,13,0
2,0,22,10.5,1
2,0,?,13.8625,1
2,0,23,10.5,0
2,0,29,13.8583,1
2,0,28,10.5,0
2,0,?,0,0
2,1,50,26,1
2,0,19,10.5,0
2,0,?,15.05,0
2,0,41,13,0
2,1,21,21,1
2,1,19,26,1
2,0,43,21,0
2,1,32,13,1
2,0,34,13,0
2,0,30,12.7375,1
2,0,27,15.0333,0
2,1,2,26,1
2,1,8,26,1
2,1,33,26,1
2,0,36,10.5,0
2,0,34,21,0
2,1,30,21,1
2,1,28,13,1
2,0,23,15.0458,0
2,0,0.8333,18.75,1
2,0,3,18.75,1
2,1,24,18.75,1
2,1,50,10.5,1
2,0,19,10.5,0
2,1,21,10.5,1
2,0,26,13,0
2,0,25,13,0
2,0,27,26,0
2,1,25,26,1
2,1,18,13,1
2,1,20,36.75,1
2,1,30,13,1
2,0,59,13.5,0
2,1,30,12.35,1
2,0,35,10.5,0
2,1,40,13,1
2,0,25,13,0
2,0,41,15.0458,0
2,0,25,10.5,0
2,0,18.5,13,0
2,0,14,65,0
2,1,50,10.5,1
2,0,23,13,0
2,1,28,12.65,1
2,1,27,10.5,1
2,0,29,21,0
2,1,27,21,0
2,0,40,13,0
2,1,31,21,1
2,0,30,21,0
2,0,23,10.5,0
2,1,31,21,1
2,0,?,0,0
2,1,12,15.75,1
2,1,40,15.75,1
2,1,32.5,13,1
2,0,27,26,0
2,1,29,26,1
2,0,2,23,1
2,1,4,23,1
2,1,29,23,1
2,1,0.9167,27.75,1
2,1,5,27.75,1
2,0,36,27.75,0
2,1,33,27.75,1
2,0,66,10.5,0
2,0,?,12.875,0
2,0,31,13,1
2,0,?,13,1
2,1,26,13.5,1
2,1,24,13,0
3,0,42,7.55,0
3,0,13,20.25,0
3,0,16,20.25,0
3,1,35,20.25,1
3,1,16,7.65,1
3,0,25,7.65,1
3,0,20,7.925,1
3,1,18,7.2292,1
3,0,30,7.25,0
3,0,26,8.05,0
3,1,40,9.475,0
3,0,0.8333,9.35,1
3,1,18,9.35,1
3,0,26,18.7875,1
3,0,26,7.8875,0
3,0,20,7.925,0
3,0,24,7.05,0
3,0,25,7.05,0
3,0,35,8.05,0
3,0,18,8.3,0
3,0,32,22.525,0
3,1,19,7.8542,1
3,0,4,31.275,0
3,1,6,31.275,0
3,1,2,31.275,0
3,1,17,7.925,1
3,1,38,7.775,0
3,1,9,31.275,0
3,1,11,31.275,0
3,0,39,31.275,0
3,0,27,7.7958,1
3,0,26,7.775,0
3,1,39,31.275,0
3,0,20,7.8542,0
3,0,26,7.8958,0
3,0,25,17.8,0
3,1,18,17.8,0
3,0,24,7.775,0
3,0,35,7.05,0
3,0,5,31.3875,0
3,0,9,31.3875,0
3,0,3,31.3875,1
3,0,13,31.3875,0
3,1,5,31.3875,1
3,0,40,31.3875,0
3,0,23,7.7958,1
3,1,38,31.3875,1
3,1,45,7.225,1
3,0,21,7.225,0
3,0,23,7.05,0
3,1,17,14.4583,0
3,0,30,7.225,0
3,0,23,7.8542,0
3,1,13,7.2292,1
3,0,20,7.225,0
3,0,32,15.85,0
3,1,33,15.85,1
3,1,0.75,19.2583,1
3,1,0.75,19.2583,1
3,1,5,19.2583,1
3,1,24,19.2583,1
3,1,18,8.05,1
3,0,40,7.225,0
3,0,26,7.8958,0
3,0,20,7.2292,1
3,1,18,14.4542,0
3,1,45,14.4542,0
3,1,27,7.8792,0
3,0,22,8.05,0
3,0,19,8.05,0
3,0,26,7.775,0
3,0,22,9.35,0
3,0,?,7.2292,0
3,0,20,4.0125,0
3,0,32,56.4958,1
3,0,21,7.775,0
3,0,18,7.75,0
3,0,26,7.8958,0
3,0,6,15.2458,0
3,1,9,15.2458,0
3,0,?,7.225,0
3,1,?,15.2458,0
3,1,?,7.75,0
3,0,40,15.5,0
3,1,32,15.5,0
3,0,21,16.1,0
3,1,22,7.725,1
3,1,20,7.8542,0
3,0,29,7.0458,0
3,0,22,7.25,0
3,0,22,7.7958,0
3,0,35,8.05,0
3,1,18.5,7.2833,0
3,0,21,7.8208,1
3,0,19,6.75,0
3,1,18,7.8792,0
3,1,21,8.6625,0
3,1,30,8.6625,0
3,0,18,8.6625,0
3,0,38,8.6625,0
3,0,17,8.6625,0
3,0,17,8.6625,0
3,1,21,7.75,0
3,0,21,7.75,0
3,0,21,8.05,0
3,0,?,14.4583,0
3,1,?,14.4583,0
3,0,28,7.7958,0
3,0,24,7.8542,0
3,1,16,7.75,1
3,1,37,7.75,0
3,0,28,7.25,0
3,0,24,8.05,0
3,0,21,7.7333,0
3,0,32,56.4958,1
3,0,29,8.05,0
3,0,26,14.4542,0
3,0,18,14.4542,0
3,0,20,7.05,0
3,0,18,8.05,1
3,0,24,7.25,0
3,0,36,7.4958,0
3,0,24,7.4958,0
3,0,31,7.7333,0
3,0,31,7.75,0
3,1,22,7.75,1
3,1,30,7.6292,0
3,0,70.5,7.75,0
3,0,43,8.05,0
3,0,35,7.8958,0
3,0,27,7.8958,0
3,0,19,7.8958,0
3,0,30,8.05,0
3,0,9,15.9,1
3,0,3,15.9,1
3,1,36,15.9,1
3,0,59,7.25,0
3,0,19,8.1583,0
3,1,17,16.1,1
3,0,44,16.1,0
3,0,17,8.6625,0
3,0,22.5,7.225,0
3,0,45,8.05,1
3,1,22,10.5167,0
3,0,19,10.1708,0
3,1,30,6.95,1
3,0,29,7.75,1
3,0,0.3333,14.4,0
3,0,34,14.4,0
3,1,28,14.4,0
3,0,27,7.8958,0
3,0,25,7.8958,0
3,0,24,24.15,0
3,0,22,8.05,0
3,0,21,24.15,0
3,0,17,8.05,0
3,0,?,16.1,0
3,1,?,16.1,1
3,0,36.5,17.4,1
3,1,36,17.4,1
3,0,30,9.5,1
3,0,16,9.5,0
3,0,1,20.575,1
3,1,0.1667,20.575,1
3,0,26,20.575,0
3,1,33,20.575,1
3,0,25,7.8958,0
3,0,?,7.8958,0
3,0,?,7.8958,0
3,0,22,7.25,0
3,0,36,7.25,0
3,1,19,7.8792,1
3,0,17,7.8958,0
3,0,42,8.6625,0
3,0,43,7.8958,0
3,0,?,7.2292,0
3,0,32,7.75,0
3,0,19,8.05,1
3,1,30,12.475,1
3,1,24,7.75,0
3,1,23,8.05,1
3,0,33,7.8958,0
3,0,65,7.75,0
3,0,24,7.55,1
3,0,23,13.9,0
3,1,22,13.9,1
3,0,18,7.775,0
3,0,16,7.775,0
3,0,45,6.975,0
3,0,?,7.225,0
3,0,39,7.2292,0
3,0,17,7.2292,0
3,0,15,7.2292,0
3,0,47,7.25,0
3,1,5,12.475,1
3,0,?,7.225,0
3,0,40.5,15.1,0
3,0,40.5,7.75,0
3,0,?,7.05,1
3,0,18,7.7958,0
3,1,?,7.75,0
3,0,?,7.75,0
3,0,?,6.95,0
3,0,26,7.8792,0
3,0,?,7.75,0
3,0,?,56.4958,1
3,1,21,34.375,0
3,1,9,34.375,0
3,0,?,8.05,0
3,0,18,34.375,0
3,0,16,34.375,0
3,1,48,34.375,0
3,0,?,7.75,0
3,0,?,7.25,0
3,0,25,7.7417,0
3,0,?,14.5,0
3,0,?,7.8958,0
3,0,22,8.05,0
3,1,16,7.7333,1
3,1,?,7.75,1
3,0,9,20.525,1
3,0,33,20.525,0
3,0,41,7.85,0
3,1,31,20.525,1
3,0,38,7.05,0
3,0,9,46.9,0
3,0,1,46.9,0
3,0,11,46.9,0
3,1,10,46.9,0
3,1,16,46.9,0
3,0,14,46.9,0
3,0,40,46.9,0
3,1,43,46.9,0
3,0,51,8.05,0
3,0,32,8.3625,0
3,0,?,8.05,0
3,0,20,9.8458,0
3,0,37,7.925,0
3,0,28,7.925,0
3,0,19,7.775,0
3,1,24,8.85,0
3,1,17,7.7333,0
3,0,?,19.9667,0
3,0,?,19.9667,0
3,0,28,15.85,0
3,1,24,15.85,1
3,0,20,9.5,0
3,0,23.5,7.2292,0
3,0,41,14.1083,0
3,0,26,7.8542,0
3,0,21,7.8542,0
3,1,45,14.1083,1
3,1,?,7.55,0
3,0,25,7.25,0
3,0,?,6.8583,0
3,0,11,18.7875,0
3,1,?,7.75,1
3,0,27,6.975,1
3,0,?,56.4958,1
3,1,18,6.75,0
3,1,26,7.925,1
3,1,23,7.925,0
3,1,22,8.9625,1
3,0,28,7.8958,0
3,1,28,7.775,0
3,1,?,7.75,0
3,1,2,12.2875,1
3,1,22,12.2875,1
3,0,43,6.45,0
3,0,28,22.525,0
3,1,27,7.925,1
3,0,?,7.75,0
3,1,?,8.05,1
3,0,42,7.65,0
3,0,?,7.8875,1
3,0,30,7.2292,0
3,0,?,7.8958,0
3,1,27,7.925,0
3,1,25,7.925,0
3,0,?,7.8958,0
3,0,29,7.8958,1
3,0,21,7.7958,1
3,0,?,7.05,0
3,0,20,7.8542,0
3,0,48,7.8542,0
3,0,17,7.0542,0
3,1,?,7.75,1
3,0,?,8.1125,1
3,0,34,6.4958,0
3,0,26,7.775,1
3,0,22,7.7958,0
3,0,33,8.6542,0
3,0,31,7.775,0
3,0,29,7.8542,0
3,0,4,11.1333,1
3,1,1,11.1333,1
3,0,49,0,0
3,0,33,7.775,0
3,0,19,0,0
3,1,27,11.1333,1
3,0,?,23.45,0
3,1,?,23.45,0
3,0,?,23.45,0
3,1,?,23.45,0
3,0,23,7.8958,0
3,0,32,7.8542,1
3,0,27,7.8542,0
3,1,20,9.825,0
3,1,21,9.825,0
3,0,32,7.925,1
3,0,17,7.125,0
3,0,21,8.4333,0
3,0,30,7.8958,0
3,0,21,7.7958,1
3,0,33,7.8542,0
3,0,22,7.5208,0
3,1,4,13.4167,1
3,0,39,13.4167,1
3,0,?,7.2292,0
3,0,18.5,7.2292,0
3,0,?,7.75,0
3,0,?,7.25,0
3,1,?,7.75,1
3,1,?,7.75,1
3,0,34.5,7.8292,0
3,0,44,8.05,0
3,0,?,7.75,1
3,0,?,14.4542,0
3,1,?,14.4542,0
3,0,?,7.75,0
3,0,?,7.75,0
3,0,?,7.7375,0
3,1,22,8.6625,0
3,0,26,8.6625,0
3,1,4,22.025,1
3,0,29,22.025,1
3,1,26,22.025,1
3,1,1,12.1833,0
3,0,18,7.8542,0
3,1,36,12.1833,0
3,0,?,7.8958,0
3,0,25,7.2292,1
3,0,?,7.225,0
3,1,37,9.5875,0
3,0,?,7.8958,0
3,0,?,56.4958,1
3,0,?,56.4958,0
3,1,22,7.25,1
3,0,?,7.75,0
3,0,26,56.4958,1
3,0,29,9.4833,0
3,0,29,7.775,0
3,0,22,7.775,0
3,0,22,7.225,1
3,0,?,25.4667,0
3,1,?,25.4667,0
3,1,?,25.4667,0
3,1,?,25.4667,0
3,1,?,25.4667,0
3,0,32,7.925,0
3,0,34.5,6.4375,0
3,1,?,15.5,0
3,0,?,15.5,0
3,0,36,0,0
3,0,39,24.15,0
3,0,24,9.5,0
3,1,25,7.775,0
3,1,45,7.75,0
3,0,36,15.55,0
3,1,30,15.55,0
3,0,20,7.925,1
3,0,?,7.8792,0
3,0,28,56.4958,0
3,0,?,7.55,0
3,0,30,16.1,0
3,1,26,16.1,0
3,0,?,7.8792,0
3,0,20.5,7.25,0
3,0,27,8.6625,1
3,0,51,7.0542,0
3,1,23,7.8542,1
3,0,32,7.5792,1
3,0,?,7.8958,0
3,0,?,7.55,0
3,1,?,7.75,1
3,0,24,7.1417,1
3,0,22,7.125,0
3,1,?,7.8792,0
3,0,?,7.75,0
3,0,?,8.05,0
3,0,29,7.925,0
3,0,?,7.2292,1
3,1,30.5,7.75,0
3,1,?,7.7375,1
3,0,?,7.2292,0
3,0,35,7.8958,0
3,0,33,7.8958,0
3,1,?,7.225,1
3,0,?,7.8958,0
3,1,?,7.75,1
3,0,?,7.75,1
3,1,?,23.25,1
3,1,?,23.25,1
3,0,?,23.25,1
3,1,?,7.7875,1
3,0,?,15.5,0
3,1,?,7.8792,1
3,1,15,8.0292,1
3,1,35,7.75,0
3,0,?,7.75,0
3,0,24,16.1,0
3,1,19,16.1,0
3,1,?,7.75,0
3,1,?,8.05,0
3,1,?,8.05,0
3,0,55.5,8.05,0
3,0,?,7.75,0
3,0,21,7.775,1
3,0,?,8.05,0
3,0,24,7.8958,0
3,0,21,7.8958,0
3,0,28,7.8958,0
3,0,?,7.8958,0
3,1,?,7.8792,1
3,0,25,7.65,0
3,0,6,12.475,1
3,1,27,12.475,1
3,0,?,8.05,0
3,1,?,24.15,1
3,0,?,24.15,0
3,0,?,8.4583,0
3,0,34,8.05,0
3,0,?,7.75,0
3,0,?,7.775,1
3,0,?,15.2458,1
3,0,?,15.2458,1
3,1,?,15.2458,1
3,1,?,7.2292,1
3,0,?,8.05,0
3,1,?,7.7333,1
3,1,24,7.75,1
3,0,?,8.05,0
3,1,?,15.5,1
3,1,?,15.5,1
3,1,?,15.5,1
3,0,18,7.75,0
3,0,22,7.8958,0
3,1,15,7.225,1
3,1,1,15.7417,1
3,0,20,15.7417,1
3,1,19,15.7417,1
3,0,33,8.05,0
3,0,?,7.8958,0
3,0,?,7.2292,0
3,1,?,7.75,0
3,0,?,7.8958,0
3,0,12,11.2417,1
3,1,14,11.2417,1
3,1,29,7.925,0
3,0,28,8.05,0
3,1,18,7.775,1
3,1,26,7.8542,1
3,0,21,7.8542,0
3,0,41,7.125,0
3,0,39,7.925,1
3,0,21,7.8,0
3,0,28.5,7.2292,0
3,1,22,7.75,1
3,0,61,6.2375,0
3,0,?,15.5,0
3,0,?,7.8292,0
3,1,?,15.5,1
3,0,?,7.7333,0
3,0,?,7.75,0
3,0,?,7.75,0
3,0,23,9.225,0
3,1,?,7.75,0
3,1,?,7.75,1
3,1,?,7.8792,1
3,1,22,7.775,1
3,0,?,7.75,1
3,1,?,7.8292,1
3,0,9,3.1708,1
3,0,28,22.525,0
3,0,42,8.4042,0
3,0,?,7.3125,0
3,1,31,7.8542,0
3,0,28,7.8542,0
3,0,32,7.775,1
3,0,20,9.225,0
3,1,23,8.6625,0
3,1,20,8.6625,0
3,0,20,8.6625,0
3,0,16,9.2167,0
3,1,31,8.6833,1
3,1,?,7.6292,0
3,0,2,21.075,0
3,0,6,21.075,0
3,1,3,21.075,0
3,1,8,21.075,0
3,1,29,21.075,0
3,0,1,39.6875,0
3,0,7,39.6875,0
3,0,2,39.6875,0
3,0,16,39.6875,0
3,0,14,39.6875,0
3,1,41,39.6875,0
3,0,21,8.6625,0
3,0,19,14.5,0
3,0,?,8.7125,0
3,0,32,7.8958,0
3,0,0.75,13.775,0
3,1,3,13.775,0
3,1,26,13.775,0
3,0,?,7,0
3,0,?,7.775,0
3,0,?,8.05,0
3,0,21,7.925,0
3,0,25,7.925,0
3,0,22,7.25,0
3,0,25,7.775,1
3,0,?,22.3583,1
3,1,?,22.3583,1
3,1,?,22.3583,1
3,1,?,8.1375,0
3,0,24,8.05,0
3,1,28,7.8958,0
3,0,19,7.8958,0
3,0,?,7.8958,0
3,0,25,7.775,0
3,1,18,7.775,0
3,0,32,8.05,1
3,0,?,7.8958,0
3,0,17,8.6625,0
3,0,24,8.6625,0
3,0,?,7.8958,0
3,1,?,8.1125,0
3,0,?,7.2292,0
3,0,?,7.25,0
3,0,38,7.8958,0
3,0,21,8.05,0
3,0,10,29.125,0
3,0,4,29.125,0
3,0,7,29.125,0
3,0,2,29.125,0
3,0,8,29.125,0
3,1,39,29.125,0
3,1,22,39.6875,0
3,0,35,7.125,0
3,1,?,7.7208,1
3,0,?,14.5,0
3,1,?,14.5,0
3,0,50,14.5,0
3,1,47,14.5,0
3,0,?,8.05,0
3,0,?,7.775,0
3,1,2,20.2125,0
3,0,18,20.2125,0
3,1,41,20.2125,0
3,1,?,8.05,1
3,0,50,8.05,0
3,0,16,8.05,0
