pclass,survived,sex=female,age
1,0,0,38
1,1,1,58
1,1,0,23
1,1,1,45
1,0,0,46
1,1,0,25
1,1,1,25
1,1,0,48
1,1,1,49
1,0,0,29
1,0,0,45
1,1,1,35
1,0,0,40
1,1,0,27
1,1,0,29
1,1,1,24
1,0,0,55
1,1,1,52
1,0,0,42
1,0,0,29
1,0,0,55
1,1,1,16
1,1,1,44
1,1,1,51
1,0,0,42
1,1,1,35
1,1,0,35
1,1,0,38
1,0,0,29
1,1,1,35
1,1,1,38
1,0,1,50
1,1,0,49
1,0,0,46
1,0,0,50
1,0,0,32.5
1,0,0,58
1,0,0,41
1,1,1,29
1,1,0,42
1,1,1,45
1,0,0,29
1,1,1,39
1,1,1,49
1,1,1,30
1,1,0,35
1,0,0,29
1,0,0,42
1,1,1,55
1,1,1,16
1,1,1,51
1,0,0,29
1,1,1,21
1,0,0,30
1,1,1,58
1,1,1,15
1,0,0,30
1,1,1,16
1,1,0,29
1,0,0,19
1,1,1,18
1,1,1,24
1,0,0,46
1,0,0,54
1,1,0,36
1,0,0,28
1,1,1,29
1,0,0,65
1,0,0,44
1,1,1,33
1,1,1,37
1,1,0,30
1,0,0,55
1,0,0,47
1,0,0,37
1,1,1,31
1,1,1,23
1,0,0,58
1,1,1,19
1,0,0,64
1,1,1,39
1,1,0,29
1,1,1,22
1,0,0,65
1,0,0,28.5
1,0,0,29
1,0,0,45.5
1,0,0,23
1,0,0,29
1,1,1,22
1,0,0,18
1,1,1,17
1,1,1,30
1,1,0,52
1,0,0,47
1,1,1,56
1,0,0,38
1,1,0,29
1,0,0,22
1,0,0,29
1,1,1,43
1,0,0,31
1,1,0,45
1,0,0,29
1,1,1,33
1,0,0,46
1,0,0,36
1,1,1,33
1,0,0,55
1,1,1,54
1,0,0,33
1,1,0,13
1,1,1,18
1,1,1,21
1,0,0,61
1,1,1,48
1,1,0,29
1,1,1,24
1,1,0,29
1,1,1,35
1,1,1,30
1,1,0,34
1,1,1,40
1,1,0,35
1,0,0,50
1,1,1,39
1,1,0,56
1,1,0,28
1,0,0,56
1,0,0,56
1,0,0,24
1,0,0,29
1,1,1,18
1,1,0,24
1,1,1,23
1,1,0,6
1,1,0,45
1,1,1,40
1,0,0,57
1,1,1,29
1,1,0,32
1,0,0,62
1,1,0,54
1,1,1,43
1,1,1,52
1,0,0,29
1,1,1,62
1,0,0,67
1,0,1,63
1,0,0,61
1,1,1,48
1,1,1,18
1,0,0,52
1,1,1,39
1,1,0,48
1,1,1,29
1,0,0,49
1,1,0,17
1,1,1,39
1,1,1,29
1,1,0,31
1,0,0,40
1,0,0,61
1,0,0,47
1,1,1,35
1,0,0,64
1,1,1,60
1,0,0,60
1,0,0,54
1,0,0,21
1,1,1,55
1,1,1,31
1,0,0,57
1,1,1,45
1,0,0,50
1,0,0,27
1,1,1,50
1,1,1,21
1,0,0,51
1,1,0,21
1,0,0,29
1,1,1,31
1,1,0,29
1,0,0,62
1,1,1,36
2,0,0,30
2,1,1,28
2,0,0,30
2,0,0,18
2,0,0,25
2,0,0,34
2,1,1,36
2,0,0,57
2,0,0,18
2,0,0,23
2,1,1,36
2,0,0,28
2,0,0,51
2,1,0,32
2,1,1,19
2,0,0,28
2,1,0,1
2,1,1,4
2,1,1,12
2,1,1,36
2,1,0,34
2,1,1,19
2,0,0,23
2,0,0,26
2,0,0,42
2,0,0,27
2,1,1,24
2,1,1,15
2,0,0,60
2,1,1,40
2,1,1,20
2,0,0,25
2,1,1,36
2,0,0,25
2,0,0,42
2,1,1,42
2,1,0,0.8333
2,1,0,26
2,1,1,22
2,1,1,35
2,0,0,29
2,0,0,19
2,0,1,44
2,0,0,54
2,0,0,52
2,0,0,37
2,0,1,29
2,1,1,25
2,1,1,45
2,0,0,29
2,1,1,28
2,0,0,29
2,0,0,28
2,1,0,24
2,1,1,8
2,0,0,31
2,1,1,31
2,1,1,22
2,0,1,30
2,0,1,29
2,0,0,21
2,0,0,29
2,1,0,8
2,0,0,18
2,1,1,48
2,1,1,28
2,0,0,32
2,0,0,17
2,0,0,29
2,1,1,24
2,0,0,25
2,0,0,18
2,1,1,18
2,1,1,34
2,0,0,54
2,1,0,8
2,0,0,42
2,1,1,34
2,1,1,27
2,1,1,30
2,0,0,23
2,0,0,21
2,0,0,18
2,0,0,40
2,1,1,29
2,0,0,18
2,0,0,36
2,0,0,29
2,0,1,38
2,0,0,35
2,0,0,38
2,0,0,34
2,1,1,34
2,0,0,16
2,0,0,26
2,0,0,47
2,0,0,21
2,0,0,21
2,0,0,24
2,0,0,24
2,0,0,34
2,0,0,30
2,0,0,52
2,0,0,30
2,1,0,0.6667
2,1,1,24
2,0,0,44
2,1,1,6
2,0,0,28
2,1,0,62
2,0,0,30
2,1,1,7
2,0,0,43
2,1,1,45
2,1,1,24
2,1,1,24
2,0,0,49
2,1,1,48
2,1,1,55
2,0,0,24
2,0,0,32
2,0,0,21
2,0,1,18
2,1,1,20
2,0,0,23
2,0,0,36
2,1,1,54
2,0,0,50
2,0,0,44
2,1,1,29
2,0,0,21
2,1,0,42
2,0,0,63
2,0,1,60
2,0,0,33
2,1,1,17
2,0,0,42
2,1,1,24
2,0,0,47
2,0,0,24
2,0,0,22
2,0,0,32
2,1,1,23
2,0,0,34
2,1,1,24
2,0,1,22
2,1,1,29
2,0,0,35
2,1,1,45
2,0,0,57
2,0,0,29
2,0,0,31
2,0,1,26
2,0,0,30
2,0,0,29
2,1,1,1
2,1,1,3
2,0,0,25
2,1,1,22
2,1,1,17
2,1,1,29
2,1,1,34
2,0,0,36
2,0,0,24
2,0,0,61
2,0,0,50
2,1,1,42
2,0,1,57
2,0,0,29
2,1,0,1
2,0,0,31
2,1,1,24
2,0,0,29
2,0,0,30
2,0,0,40
2,0,0,32
2,0,0,30
2,0,0,46
2,1,1,13
2,1,1,41
2,1,0,19
2,0,0,39
2,0,0,48
2,0,0,70
2,0,0,27
2,0,0,54
2,0,0,39
2,0,0,16
2,0,0,62
2,0,0,32.5
2,1,1,14
2,1,0,2
2,1,0,3
2,0,0,36.5
2,0,0,26
2,0,0,19
2,0,0,28
2,1,0,20
2,1,1,29
2,0,0,39
2,1,0,22
2,1,0,29
2,0,0,23
2,1,0,29
2,0,0,28
2,0,0,29
2,1,1,50
2,0,0,19
2,0,0,29
2,0,0,41
2,1,1,21
2,1,1,19
2,0,0,43
2,1,1,32
2,0,0,34
2,1,0,30
2,0,0,27
2,1,1,2
2,1,1,8
2,1,1,33
2,0,0,36
2,0,0,34
2,1,1,30
2,1,1,28
2,0,0,23
2,1,0,0.8333
2,1,0,3
2,1,1,24
2,1,1,50
2,0,0,19
2,1,1,21
2,0,0,26
2,0,0,25
2,0,0,27
2,1,1,25
2,1,1,18
2,1,1,20
2,1,1,30
2,0,0,59
2,1,1,30
2,0,0,35
2,1,1,40
2,0,0,25
2,0,0,41
2,0,0,25
2,0,0,18.5
2,0,0,14
2,1,1,50
2,0,0,23
2,1,1,28
2,1,1,27
2,0,0,29
2,0,1,27
2,0,0,40
2,1,1,31
2,0,0,30
2,0,0,23
2,1,1,31
2,0,0,29
2,1,1,12
2,1,1,40
2,1,1,32.5
2,0,0,27
2,1,1,29
2,1,0,2
2,1,1,4
2,1,1,29
2,1,1,0.9167
2,1,1,5
2,0,0,36
2,1,1,33
2,0,0,66
2,0,0,29
2,1,0,31
2,1,0,29
2,1,1,26
2,0,1,24
3,0,0,42
3,0,0,13
3,0,0,16
3,1,1,35
3,1,1,16
3,1,0,25
3,1,0,20
3,1,1,18
3,0,0,30
3,0,0,26
3,0,1,40
3,1,0,0.8333
3,1,1,18
3,1,0,26
3,0,0,26
3,0,0,20
3,0,0,24
3,0,0,25
3,0,0,35
3,0,0,18
3,0,0,32
3,1,1,19
3,0,0,4
3,0,1,6
3,0,1,2
3,1,1,17
3,0,1,38
3,0,1,9
3,0,1,11
3,0,0,39
3,1,0,27
3,0,0,26
3,0,1,39
3,0,0,20
3,0,0,26
3,0,0,25
3,0,1,18
3,0,0,24
3,0,0,35
3,0,0,5
3,0,0,9
3,1,0,3
3,0,0,13
3,1,1,5
3,0,0,40
3,1,0,23
3,1,1,38
3,1,1,45
3,0,0,21
3,0,0,23
3,0,1,17
3,0,0,30
3,0,0,23
3,1,1,13
3,0,0,20
3,0,0,32
3,1,1,33
3,1,1,0.75
3,1,1,0.75
3,1,1,5
3,1,1,24
3,1,1,18
3,0,0,40
3,0,0,26
3,1,0,20
3,0,1,18
3,0,1,45
3,0,1,27
3,0,0,22
3,0,0,19
3,0,0,26
3,0,0,22
3,0,0,29
3,0,0,20
3,1,0,32
3,0,0,21
3,0,0,18
3,0,0,26
3,0,0,6
3,0,1,9
3,0,0,29
3,0,1,29
3,0,1,29
3,0,0,40
3,0,1,32
3,0,0,21
3,1,1,22
3,0,1,20
3,0,0,29
3,0,0,22
3,0,0,22
3,0,0,35
3,0,1,18.5
3,1,0,21
3,0,0,19
3,0,1,18
3,0,1,21
3,0,1,30
3,0,0,18
3,0,0,38
3,0,0,17
3,0,0,17
3,0,1,21
3,0,0,21
3,0,0,21
3,0,0,29
3,0,1,29
3,0,0,28
3,0,0,24
3,1,1,16
3,0,1,37
3,0,0,28
3,0,0,24
3,0,0,21
3,1,0,32
3,0,0,29
3,0,0,26
3,0,0,18
3,0,0,20
3,1,0,18
3,0,0,24
3,0,0,36
3,0,0,24
3,0,0,31
3,0,0,31
3,1,1,22
3,0,1,30
3,0,0,70.5
3,0,0,43
3,0,0,35
3,0,0,27
3,0,0,19
3,0,0,30
3,1,0,9
3,1,0,3
3,1,1,36
3,0,0,59
3,0,0,19
3,1,1,17
3,0,0,44
3,0,0,17
3,0,0,22.5
3,1,0,45
3,0,1,22
3,0,0,19
3,1,1,30
3,1,0,29
3,0,0,0.3333
3,0,0,34
3,0,1,28
3,0,0,27
3,0,0,25
3,0,0,24
3,0,0,22
3,0,0,21
3,0,0,17
3,0,0,29
3,1,1,29
3,1,0,36.5
3,1,1,36
3,1,0,30
3,0,0,16
3,1,0,1
3,1,1,0.1667
3,0,0,26
3,1,1,33
3,0,0,25
3,0,0,29
3,0,0,29
3,0,0,22
3,0,0,36
3,1,1,19
3,0,0,17
3,0,0,42
3,0,0,43
3,0,0,29
3,0,0,32
3,1,0,19
3,1,1,30
3,0,1,24
3,1,1,23
3,0,0,33
3,0,0,65
3,1,0,24
3,0,0,23
3,1,1,22
3,0,0,18
3,0,0,16
3,0,0,45
3,0,0,29
3,0,0,39
3,0,0,17
3,0,0,15
3,0,0,47
3,1,1,5
3,0,0,29
3,0,0,40.5
3,0,0,40.5
3,1,0,29
3,0,0,18
3,0,1,29
3,0,0,29
3,0,0,29
3,0,0,26
3,0,0,29
3,1,0,29
3,0,1,21
3,0,1,9
3,0,0,29
3,0,0,18
3,0,0,16
3,0,1,48
3,0,0,29
3,0,0,29
3,0,0,25
3,0,0,29
3,0,0,29
3,0,0,22
3,1,1,16
3,1,1,29
3,1,0,9
3,0,0,33
3,0,0,41
3,1,1,31
3,0,0,38
3,0,0,9
3,0,0,1
3,0,0,11
3,0,1,10
3,0,1,16
3,0,0,14
3,0,0,40
3,0,1,43
3,0,0,51
3,0,0,32
3,0,0,29
3,0,0,20
3,0,0,37
3,0,0,28
3,0,0,19
3,0,1,24
3,0,1,17
3,0,0,29
3,0,0,29
3,0,0,28
3,1,1,24
3,0,0,20
3,0,0,23.5
3,0,0,41
3,0,0,26
3,0,0,21
3,1,1,45
3,0,1,29
3,0,0,25
3,0,0,29
3,0,0,11
3,1,1,29
3,1,0,27
3,1,0,29
3,0,1,18
3,1,1,26
3,0,1,23
3,1,1,22
3,0,0,28
3,0,1,28
3,0,1,29
3,1,1,2
3,1,1,22
3,0,0,43
3,0,0,28
3,1,1,27
3,0,0,29
3,1,1,29
3,0,0,42
3,1,0,29
3,0,0,30
3,0,0,29
3,0,1,27
3,0,1,25
3,0,0,29
3,1,0,29
3,1,0,21
3,0,0,29
3,0,0,20
3,0,0,48
3,0,0,17
3,1,1,29
3,1,0,29
3,0,0,34
3,1,0,26
3,0,0,22
3,0,0,33
3,0,0,31
3,0,0,29
3,1,0,4
3,1,1,1
3,0,0,49
3,0,0,33
3,0,0,19
3,1,1,27
3,0,0,29
3,0,1,29
3,0,0,29
3,0,1,29
3,0,0,23
3,1,0,32
3,0,0,27
3,0,1,20
3,0,1,21
3,1,0,32
3,0,0,17
3,0,0,21
3,0,0,30
3,1,0,21
3,0,0,33
3,0,0,22
3,1,1,4
3,1,0,39
3,0,0,29
3,0,0,18.5
3,0,0,29
3,0,0,29
3,1,1,29
3,1,1,29
3,0,0,34.5
3,0,0,44
3,1,0,29
3,0,0,29
3,0,1,29
3,0,0,29
3,0,0,29
3,0,0,29
3,0,1,22
3,0,0,26
3,1,1,4
3,1,0,29
3,1,1,26
3,0,1,1
3,0,0,18
3,0,1,36
3,0,0,29
3,1,0,25
3,0,0,29
3,0,1,37
3,0,0,29
3,1,0,29
3,0,0,29
3,1,1,22
3,0,0,29
3,1,0,26
3,0,0,29
3,0,0,29
3,0,0,22
3,1,0,22
3,0,0,29
3,0,1,29
3,0,1,29
3,0,1,29
3,0,1,29
3,0,0,32
3,0,0,34.5
3,0,1,29
3,0,0,29
3,0,0,36
3,0,0,39
3,0,0,24
3,0,1,25
3,0,1,45
3,0,0,36
3,0,1,30
3,1,0,20
3,0,0,29
3,0,0,28
3,0,0,29
3,0,0,30
3,0,1,26
3,0,0,29
3,0,0,20.5
3,1,0,27
3,0,0,51
3,1,1,23
3,1,0,32
3,0,0,29
3,0,0,29
3,1,1,29
3,1,0,24
3,0,0,22
3,0,1,29
3,0,0,29
3,0,0,29
3,0,0,29
3,1,0,29
3,0,1,30.5
3,1,1,29
3,0,0,29
3,0,0,35
3,0,0,33
3,1,1,29
3,0,0,29
3,1,1,29
3,1,0,29
3,1,1,29
3,1,1,29
3,1,0,29
3,1,1,29
3,0,0,29
3,1,1,29
3,1,1,15
3,0,1,35
3,0,0,29
3,0,0,24
3,0,1,19
3,0,1,29
3,0,1,29
3,0,1,29
3,0,0,55.5
3,0,0,29
3,1,0,21
3,0,0,29
3,0,0,24
3,0,0,21
3,0,0,28
3,0,0,29
3,1,1,29
3,0,0,25
3,1,0,6
3,1,1,27
3,0,0,29
3,1,1,29
3,0,0,29
3,0,0,29
3,0,0,34
3,0,0,29
3,1,0,29
3,1,0,29
3,1,0,29
3,1,1,29
3,1,1,29
3,0,0,29
3,1,1,29
3,1,1,24
3,0,0,29
3,1,1,29
3,1,1,29
3,1,1,29
3,0,0,18
3,0,0,22
3,1,1,15
3,1,1,1
3,1,0,20
3,1,1,19
3,0,0,33
3,0,0,29
3,0,0,29
3,0,1,29
3,0,0,29
3,1,0,12
3,1,1,14
3,0,1,29
3,0,0,28
3,1,1,18
3,1,1,26
3,0,0,21
3,0,0,41
3,1,0,39
3,0,0,21
3,0,0,28.5
3,1,1,22
3,0,0,61
3,0,0,29
3,0,0,29
3,1,1,29
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,23
3,0,1,29
3,1,1,29
3,1,1,29
3,1,1,22
3,1,0,29
3,1,1,29
3,1,0,9
3,0,0,28
3,0,0,42
3,0,0,29
3,0,1,31
3,0,0,28
3,1,0,32
3,0,0,20
3,0,1,23
3,0,1,20
3,0,0,20
3,0,0,16
3,1,1,31
3,0,1,29
3,0,0,2
3,0,0,6
3,0,1,3
3,0,1,8
3,0,1,29
3,0,0,1
3,0,0,7
3,0,0,2
3,0,0,16
3,0,0,14
3,0,1,41
3,0,0,21
3,0,0,19
3,0,0,29
3,0,0,32
3,0,0,0.75
3,0,1,3
3,0,1,26
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,21
3,0,0,25
3,0,0,22
3,1,0,25
3,1,0,29
3,1,1,29
3,1,1,29
3,0,1,29
3,0,0,24
3,0,1,28
3,0,0,19
3,0,0,29
3,0,0,25
3,0,1,18
3,1,0,32
3,0,0,29
3,0,0,17
3,0,0,24
3,0,0,29
3,0,1,29
3,0,0,29
3,0,0,29
3,0,0,38
3,0,0,21
3,0,0,10
3,0,0,4
3,0,0,7
3,0,0,2
3,0,0,8
3,0,1,39
3,0,1,22
3,0,0,35
3,1,1,29
3,0,0,29
3,0,1,29
3,0,0,50
3,0,1,47
3,0,0,29
3,0,0,29
3,0,1,2
3,0,0,18
3,0,1,41
3,1,1,29
3,0,0,50
3,0,0,16
3,1,0,29
3,0,0,29
3,0,0,29
3,0,0,25
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,38.5
3,0,0,29
3,0,0,14.5
3,0,1,29
3,0,1,29
3,0,1,29
3,0,1,29
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,29
3,0,1,29
3,0,0,24
3,1,1,21
3,0,0,39
3,0,0,29
3,0,0,29
3,0,0,29
3,1,1,1
3,1,1,24
3,1,1,4
3,1,0,25
3,0,0,20
3,0,0,24.5
3,0,0,29
3,0,0,29
3,0,0,29
3,1,0,29
3,0,0,29
3,1,1,29
3,0,0,29
3,0,0,29
3,0,0,22
3,0,0,29
3,0,0,40
3,0,0,21
3,1,1,18
3,0,0,4
3,0,0,10
3,0,1,9
3,0,1,2
3,0,0,40
3,0,1,45
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,29
3,1,1,29
3,0,0,19
3,0,0,30
3,0,0,29
3,0,0,32
3,0,0,29
3,0,0,33
3,1,1,23
3,0,0,21
3,0,0,60.5
3,0,0,19
3,0,1,22
3,1,0,31
3,0,0,27
3,0,1,2
3,0,1,29
3,1,0,16
3,1,0,44
3,0,0,25
3,0,0,74
3,1,0,14
3,0,0,24
3,1,0,25
3,0,0,34
3,1,0,0.4167
3,0,0,29
3,0,0,29
3,0,0,29
3,1,1,16
3,0,0,29
3,0,0,29
3,1,1,29
3,0,0,32
3,0,0,29
3,0,0,29
3,0,0,30.5
3,0,0,44
3,0,0,29
3,1,0,25
3,0,0,29
3,1,0,7
3,1,1,9
3,1,1,29
3,0,0,36
3,1,1,18
3,1,1,63
3,0,0,29
3,0,0,11.5
3,0,0,40.5
3,0,1,10
3,0,0,36
3,0,1,30
3,0,0,29
3,0,0,33
3,0,0,28
3,0,0,28
3,0,0,47
3,0,1,18
3,0,0,31
3,0,0,16
3,0,1,31
3,1,0,22
3,0,0,20
3,0,1,14
3,0,0,22
3,0,0,22
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,32.5
3,1,1,38
3,0,0,51
3,0,0,18
3,0,0,21
3,1,1,47
3,0,0,29
3,0,0,29
3,0,0,29
3,0,0,28.5
3,0,0,21
3,0,0,27
3,0,0,29
3,0,0,36
3,0,0,27
3,1,1,15
3,0,0,45.5
3,0,0,29
3,0,0,29
3,0,1,14.5
3,0,1,29
3,0,0,26.5
3,0,0,27
3,0,0,29
