문장완성,예상수강 유무
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 연구원입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 취업준비생입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 취업(이직)에 유리입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 학생입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 서비스업입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 개인적인 관심입니다,no
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 개인적인 관심입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 잘모름입니다 제가 수강하는 이유는 실무 적용전 테스트 (pilot 포함)입니다,no
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 개인적인 관심입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 java ml 은 수강예정없습니다.입니다 제가 수강하는 이유는 java ml 은 수강예정없습니다.입니다,no
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 개인적인 관심입니다,yes
저는 학생입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 취업(이직)에 유리입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실무 적용전 테스트 (pilot 포함)입니다,yes
저는 학생입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 취업(이직)에 유리입니다,yes
저는 학생입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 파이썬 입니다 제가 수강하는 이유는 실제 업무적용입니다,no
저는 프리렌서입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있지 않습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 개인적인 관심입니다,yes
저는 프리렌서입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 개인적인 관심입니다,yes
저는 프리렌서입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있습니다 제가 수강하고 싶은 자바 ML API 는 Deeplearning4j (DL4J)입니다 제가 수강하는 이유는 실무 적용전 테스트 (pilot 포함)입니다,yes
저는 직장인 (사기업)입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
저는 취업준비생입니다 현재 자바업무를하고 있습니다 현재 자바ML 수강을하고 있지 않습니다 제가 수강하고 싶은 자바 ML API 는 weka (wekaDeeplearing4j 포함)입니다 제가 수강하는 이유는 실제 업무적용입니다,yes
