sex,age,sibsp,parch,fare,class,who,adult_male,alive
male,61,0,0,6.2375,Third,man,TRUE,no
female,36,0,0,13,Second,woman,FALSE,yes
female,31,1,1,20.525,Third,woman,FALSE,yes
female,16,0,1,57.9792,First,woman,FALSE,yes
female,29,2,0,23.25,Third,woman,FALSE,yes
male,45.5,0,0,28.5,First,man,TRUE,no
male,38,0,1,153.4625,First,man,TRUE,no
male,16,2,0,18,Third,man,TRUE,no
female,29,1,0,133.65,First,woman,FALSE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,1,0,66.6,First,man,TRUE,no
female,41,0,0,134.5,First,woman,FALSE,yes
male,45,0,0,8.05,Third,man,TRUE,yes
male,45,0,0,35.5,First,man,TRUE,no
male,2,1,1,26,Second,child,FALSE,yes
female,24,3,2,263,First,woman,FALSE,yes
male,28,0,0,13,Second,man,TRUE,no
male,25,0,0,13,Second,man,TRUE,no
male,36,0,0,13,Second,man,TRUE,no
female,24,0,0,13,Second,woman,FALSE,yes
female,40,0,0,13,Second,woman,FALSE,yes
female,29,1,0,16.1,Third,woman,FALSE,yes
male,3,1,1,15.9,Third,child,FALSE,yes
male,42,0,0,8.6625,Third,man,TRUE,no
male,23,0,0,9.225,Third,man,TRUE,no
male,29,0,0,35,First,man,TRUE,no
male,15,1,1,7.2292,Third,child,FALSE,no
male,25,1,0,17.8,Third,man,TRUE,no
male,29,0,0,7.225,Third,man,TRUE,no
male,28,0,0,9.5,Third,man,TRUE,no
female,22,0,1,55,First,woman,FALSE,yes
female,38,0,0,13,Second,woman,FALSE,no
female,29,0,0,7.8792,Third,woman,FALSE,yes
female,29,0,0,7.8792,Third,woman,FALSE,yes
male,40,1,4,27.9,Third,man,TRUE,no
male,29,1,0,27.7208,Second,man,TRUE,no
female,45,0,1,14.4542,Third,woman,FALSE,no
male,35,0,0,7.05,Third,man,TRUE,no
male,29,1,0,15.5,Third,man,TRUE,no
male,30,0,0,7.25,Third,man,TRUE,no
female,60,1,0,75.25,First,woman,FALSE,yes
female,29,0,0,7.2292,Third,woman,FALSE,yes
female,29,0,0,7.75,Third,woman,FALSE,yes
female,24,0,0,69.3,First,woman,FALSE,yes
male,25,1,0,55.4417,First,man,TRUE,yes
male,18,1,0,6.4958,Third,man,TRUE,no
male,19,0,0,8.05,Third,man,TRUE,no
male,22,0,0,135.6333,First,man,TRUE,no
female,3,3,1,21.075,Third,child,FALSE,no
female,29,1,0,82.1708,First,woman,FALSE,yes
female,22,0,0,7.25,Third,woman,FALSE,yes
male,27,0,2,211.5,First,man,TRUE,no
male,20,0,0,4.0125,Third,man,TRUE,no
male,19,0,0,7.775,Third,man,TRUE,no
female,42,0,0,227.525,First,woman,FALSE,yes
female,1,0,2,15.7417,Third,child,FALSE,yes
male,32,0,0,7.925,Third,man,TRUE,no
female,35,1,0,52,First,woman,FALSE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
male,18,0,0,73.5,Second,man,TRUE,no
male,1,5,2,46.9,Third,child,FALSE,no
female,36,0,0,13,Second,woman,FALSE,yes
male,29,0,0,7.7292,Third,man,TRUE,no
female,17,0,0,12,Second,woman,FALSE,yes
male,36,1,2,120,First,man,TRUE,yes
male,21,0,0,7.7958,Third,man,TRUE,yes
male,28,2,0,7.925,Third,man,TRUE,no
female,23,1,0,113.275,First,woman,FALSE,yes
female,24,0,2,16.7,Third,woman,FALSE,yes
male,22,0,0,7.7958,Third,man,TRUE,no
female,31,0,0,7.8542,Third,woman,FALSE,no
male,46,0,0,26,Second,man,TRUE,no
male,23,0,0,10.5,Second,man,TRUE,no
female,28,0,0,12.65,Second,woman,FALSE,yes
male,39,0,0,7.925,Third,man,TRUE,yes
male,26,0,0,8.05,Third,man,TRUE,no
female,21,1,0,9.825,Third,woman,FALSE,no
male,28,1,0,15.85,Third,man,TRUE,no
female,20,0,0,8.6625,Third,woman,FALSE,no
male,34,1,0,21,Second,man,TRUE,no
male,51,0,0,7.75,Third,man,TRUE,no
male,3,1,1,18.75,Second,child,FALSE,yes
male,21,0,0,7.775,Third,man,TRUE,no
female,29,3,1,25.4667,Third,woman,FALSE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,6.8583,Third,man,TRUE,no
female,33,1,0,90,First,woman,FALSE,yes
male,29,0,0,0,Second,man,TRUE,no
male,44,0,0,7.925,Third,man,TRUE,yes
female,29,0,0,8.05,Third,woman,FALSE,no
female,34,1,1,32.5,Second,woman,FALSE,yes
female,18,0,2,13,Second,woman,FALSE,yes
male,30,0,0,13,Second,man,TRUE,no
female,10,0,2,24.15,Third,child,FALSE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,21,0,0,7.7333,Third,man,TRUE,no
male,29,0,0,7.875,Third,man,TRUE,no
female,28,1,1,14.4,Third,woman,FALSE,no
male,18,1,1,20.2125,Third,man,TRUE,no
male,29,0,0,7.25,Third,man,TRUE,no
female,28,1,0,26,Second,woman,FALSE,yes
female,19,0,0,26,Second,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,32,0,0,8.05,Third,man,TRUE,yes
male,28,0,0,26.55,First,man,TRUE,yes
female,29,1,0,16.1,Third,woman,FALSE,yes
female,42,1,0,26,Second,woman,FALSE,yes
male,17,0,0,7.125,Third,man,TRUE,no
male,50,1,0,55.9,First,man,TRUE,no
female,14,1,2,120,First,child,FALSE,yes
female,21,2,2,34.375,Third,woman,FALSE,no
female,24,2,3,18.75,Second,woman,FALSE,yes
male,64,1,4,263,First,man,TRUE,no
male,31,0,0,10.5,Second,man,TRUE,no
female,45,1,1,26.25,Second,woman,FALSE,yes
male,20,0,0,9.5,Third,man,TRUE,no
male,25,1,0,7.775,Third,man,TRUE,no
female,28,0,0,13,Second,woman,FALSE,yes
male,29,0,0,8.1125,Third,man,TRUE,yes
male,4,0,2,81.8583,First,child,FALSE,yes
female,13,0,1,19.5,Second,child,FALSE,yes
male,34,0,0,26.55,First,man,TRUE,yes
female,5,2,1,19.2583,Third,child,FALSE,yes
male,52,0,0,30.5,First,man,TRUE,yes
male,36,1,2,27.75,Second,man,TRUE,no
male,29,1,0,19.9667,Third,man,TRUE,no
male,30,0,0,27.75,First,man,TRUE,no
male,49,1,0,89.1042,First,man,TRUE,yes
male,29,0,0,8.05,Third,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,yes
male,65,0,0,26.55,First,man,TRUE,no
female,29,1,0,51.8625,First,woman,FALSE,yes
female,50,0,0,10.5,Second,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,48,0,0,26.55,First,man,TRUE,yes
male,34,0,0,8.05,Third,man,TRUE,no
male,47,0,0,38.5,First,man,TRUE,no
male,48,0,0,13,Second,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,38,0,0,7.05,Third,man,TRUE,no
male,29,0,0,0,Second,man,TRUE,no
male,56,0,0,26.55,First,man,TRUE,no
male,29,0,0,7.725,Third,man,TRUE,no
female,0.75,2,1,19.2583,Third,child,FALSE,yes
male,29,0,0,7.25,Third,man,TRUE,no
male,38,0,0,8.6625,Third,man,TRUE,no
female,33,1,2,27.75,Second,woman,FALSE,yes
female,23,0,0,13.7917,Second,woman,FALSE,yes
female,22,0,0,9.8375,Third,woman,FALSE,no
male,29,0,0,52,First,man,TRUE,no
male,34,1,0,21,Second,man,TRUE,no
male,29,1,0,7.0458,Third,man,TRUE,no
male,22,0,0,7.5208,Third,man,TRUE,no
female,2,0,1,12.2875,Third,child,FALSE,yes
male,9,5,2,46.9,Third,child,FALSE,no
male,29,0,0,0,Second,man,TRUE,no
male,50,0,0,8.05,Third,man,TRUE,no
female,63,0,0,9.5875,Third,woman,FALSE,yes
male,25,1,0,91.0792,First,man,TRUE,yes
female,29,3,1,25.4667,Third,woman,FALSE,no
female,35,1,0,90,First,woman,FALSE,yes
male,58,0,0,29.7,First,man,TRUE,no
male,30,0,0,8.05,Third,man,TRUE,no
male,9,1,1,15.9,Third,child,FALSE,yes
male,29,1,0,19.9667,Third,man,TRUE,no
male,21,0,0,7.25,Third,man,TRUE,no
male,55,0,0,30.5,First,man,TRUE,no
male,71,0,0,49.5042,First,man,TRUE,no
male,21,0,0,8.05,Third,man,TRUE,no
male,29,0,0,14.4583,Third,man,TRUE,no
female,54,1,0,78.2667,First,woman,FALSE,yes
male,29,0,0,15.1,Third,man,TRUE,no
female,25,1,2,151.55,First,woman,FALSE,no
male,24,0,0,7.7958,Third,man,TRUE,no
male,17,0,0,8.6625,Third,man,TRUE,no
female,21,0,0,7.75,Third,woman,FALSE,no
female,29,0,0,7.6292,Third,woman,FALSE,no
female,37,0,0,9.5875,Third,woman,FALSE,no
female,16,0,0,86.5,First,woman,FALSE,yes
male,18,1,0,108.9,First,man,TRUE,no
female,33,0,2,26,Second,woman,FALSE,yes
male,29,0,0,26.55,First,man,TRUE,yes
male,28,0,0,22.525,Third,man,TRUE,no
male,26,0,0,56.4958,Third,man,TRUE,yes
male,29,0,0,7.75,Third,man,TRUE,yes
male,29,0,0,8.05,Third,man,TRUE,no
male,36,0,0,26.2875,First,man,TRUE,yes
female,54,1,0,59.4,First,woman,FALSE,yes
male,24,0,0,7.4958,Third,man,TRUE,no
male,47,0,0,34.0208,First,man,TRUE,no
female,34,0,0,10.5,Second,woman,FALSE,yes
male,29,0,0,24.15,Third,man,TRUE,no
female,36,1,0,26,Second,woman,FALSE,yes
male,32,0,0,7.8958,Third,man,TRUE,no
female,30,0,0,93.5,First,woman,FALSE,yes
male,22,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,7.225,Third,man,TRUE,no
female,44,0,1,57.9792,First,woman,FALSE,yes
male,29,0,0,7.2292,Third,man,TRUE,no
male,40.5,0,0,7.75,Third,man,TRUE,no
female,50,0,0,10.5,Second,woman,FALSE,yes
male,29,0,0,221.7792,First,man,TRUE,no
male,39,0,0,7.925,Third,man,TRUE,no
male,23,2,1,11.5,Second,man,TRUE,no
female,2,1,1,26,Second,child,FALSE,yes
male,29,0,0,7.2292,Third,man,TRUE,no
male,17,1,1,7.2292,Third,man,TRUE,no
female,29,0,2,22.3583,Third,woman,FALSE,yes
female,30,0,0,8.6625,Third,woman,FALSE,no
female,7,0,2,26.25,Second,child,FALSE,yes
male,45,0,0,26.55,First,man,TRUE,no
female,30,0,0,106.425,First,woman,FALSE,yes
male,29,0,0,14.5,Third,man,TRUE,no
female,22,0,2,49.5,First,woman,FALSE,yes
female,36,0,2,71,First,woman,FALSE,yes
female,9,4,2,31.275,Third,child,FALSE,no
female,11,4,2,31.275,Third,child,FALSE,no
male,32,1,0,26,Second,man,TRUE,yes
male,50,1,0,106.425,First,man,TRUE,no
male,64,0,0,26,First,man,TRUE,no
female,19,1,0,26,Second,woman,FALSE,yes
male,29,0,0,13.8625,Second,man,TRUE,yes
male,33,1,1,20.525,Third,man,TRUE,no
male,8,1,1,36.75,Second,child,FALSE,yes
male,17,0,2,110.8833,First,man,TRUE,yes
male,27,0,0,26,Second,man,TRUE,no
male,29,0,0,7.8292,Third,man,TRUE,no
male,22,0,0,7.225,Third,man,TRUE,yes
female,22,0,0,7.775,Third,woman,FALSE,yes
male,62,0,0,26.55,First,man,TRUE,no
female,48,1,0,39.6,First,woman,FALSE,yes
male,29,0,0,227.525,First,man,TRUE,no
female,39,1,1,79.65,First,woman,FALSE,yes
female,36,1,0,17.4,Third,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,40,0,0,7.8958,Third,man,TRUE,no
male,28,0,0,13.5,Second,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
female,29,0,0,8.05,Third,woman,FALSE,no
male,24,2,0,24.15,Third,man,TRUE,no
male,19,0,0,7.8958,Third,man,TRUE,no
female,29,0,4,21.075,Third,woman,FALSE,no
male,29,0,0,7.2292,Third,man,TRUE,no
