@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:구조,0:사망-weka.filters.unsupervised.attribute.Remove-R10,13-14-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.StringToNominal-R2,7-weka.filters.unsupervised.attribute.Remove-R2-3,5-7,9'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 나이 numeric
@attribute 요금 numeric
@attribute 구명정번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 구조여부 {사망,구조}

@data
2등급,28,24,10,구조
2등급,30,13,?,사망
2등급,18,11.5,?,사망
2등급,25,10.5,?,사망
2등급,34,26,?,사망
2등급,36,26,11,구조
2등급,57,13,?,사망
2등급,18,11.5,?,사망
2등급,23,10.5,?,사망
2등급,36,13,10,구조
2등급,28,10.5,?,사망
2등급,51,12.525,?,사망
2등급,32,26,13,구조
2등급,19,26,13,구조
2등급,28,26,?,사망
2등급,1,39,11,구조
2등급,4,39,11,구조
2등급,12,39,13,구조
2등급,36,39,11,구조
2등급,34,13,13,구조
2등급,19,13,12,구조
2등급,23,13,?,사망
2등급,26,13,?,사망
2등급,42,13,?,사망
2등급,27,13,?,사망
2등급,24,13,11,구조
2등급,15,39,14,구조
2등급,60,39,?,사망
2등급,40,39,14,구조
2등급,20,26,12,구조
2등급,25,26,?,사망
2등급,36,13,9,구조
2등급,25,13,?,사망
2등급,42,13,?,사망
2등급,42,13,?,구조
2등급,0.8333,29,13,구조
2등급,26,29,13,구조
2등급,22,29,13,구조
2등급,35,21,14,구조
2등급,?,0,?,사망
2등급,19,13,?,사망
2등급,44,26,?,사망
2등급,54,26,?,사망
2등급,52,13.5,?,사망
2등급,37,26,?,사망
2등급,29,26,?,사망
2등급,25,30,12,구조
2등급,45,30,12,구조
2등급,29,26,?,사망
2등급,28,26,14,구조
2등급,29,10.5,?,사망
2등급,28,13,?,사망
2등급,24,10.5,9,구조
2등급,8,26.25,14,구조
2등급,31,26.25,?,사망
2등급,31,26.25,14,구조
2등급,22,10.5,14,구조
2등급,30,13,?,사망
2등급,?,21,?,사망
2등급,21,11.5,?,사망
2등급,?,0,?,사망
2등급,8,36.75,14,구조
2등급,18,73.5,?,사망
2등급,48,36.75,14,구조
2등급,28,13,13,구조
2등급,32,13,?,사망
2등급,17,73.5,?,사망
2등급,29,27.7208,?,사망
2등급,24,27.7208,12,구조
2등급,25,31.5,?,사망
2등급,18,73.5,?,사망
2등급,18,23,?,구조
2등급,34,23,?,구조
2등급,54,26,?,사망
2등급,8,32.5,10,구조
2등급,42,32.5,?,사망
2등급,34,32.5,10,구조
2등급,27,13.8583,12,구조
2등급,30,13.8583,12,구조
2등급,23,13,?,사망
2등급,21,13,?,사망
2등급,18,13,?,사망
2등급,40,26,?,사망
2등급,29,26,16,구조
2등급,18,10.5,?,사망
2등급,36,13,?,사망
2등급,?,0,?,사망
2등급,38,13,?,사망
2등급,35,26,?,사망
2등급,38,21,?,사망
2등급,34,21,?,사망
2등급,34,13,12,구조
2등급,16,26,?,사망
2등급,26,10.5,?,사망
2등급,47,10.5,?,사망
2등급,21,11.5,?,사망
2등급,21,11.5,?,사망
2등급,24,13.5,?,사망
2등급,24,13,?,사망
2등급,34,13,?,사망
2등급,30,13,?,사망
2등급,52,13,?,사망
2등급,30,13,?,사망
2등급,0.6667,14.5,4,구조
2등급,24,14.5,4,구조
2등급,44,13,?,사망
2등급,6,33,11,구조
2등급,28,33,?,사망
2등급,62,10.5,15,구조
2등급,30,10.5,?,사망
2등급,7,26.25,14,구조
2등급,43,26.25,?,사망
2등급,45,26.25,14,구조
2등급,24,65,9,구조
2등급,24,65,9,구조
2등급,49,65,?,사망
2등급,48,65,9,구조
2등급,55,16,13,구조
2등급,24,73.5,?,사망
2등급,32,73.5,?,사망
2등급,21,73.5,?,사망
2등급,18,13,?,사망
2등급,20,23,4,구조
2등급,23,11.5,?,사망
2등급,36,13,?,사망
2등급,54,23,4,구조
2등급,50,13,?,사망
2등급,44,26,?,사망
2등급,29,26,10,구조
2등급,21,73.5,?,사망
2등급,42,13,10,구조
2등급,63,26,?,사망
2등급,60,26,?,사망
2등급,33,12.275,?,사망
2등급,17,10.5,?,구조
2등급,42,27,?,사망
2등급,24,27,12,구조
2등급,47,15,?,사망
2등급,24,31.5,?,사망
2등급,22,31.5,?,사망
2등급,32,10.5,?,사망
2등급,23,13.7917,11,구조
2등급,34,26,?,사망
2등급,24,26,12,구조
2등급,22,21,?,사망
2등급,?,12.35,10,구조
2등급,35,12.35,?,사망
2등급,45,13.5,9,구조
2등급,57,12.35,?,사망
2등급,?,0,?,사망
2등급,31,10.5,?,사망
2등급,26,26,?,사망
2등급,30,26,?,사망
2등급,?,10.7083,?,사망
2등급,1,41.5792,14,구조
2등급,3,41.5792,14,구조
2등급,25,41.5792,?,사망
2등급,22,41.5792,14,구조
2등급,17,12,12,구조
2등급,?,33,11,구조
2등급,34,10.5,14,구조
2등급,36,12.875,?,사망
2등급,24,10.5,?,사망
2등급,61,12.35,?,사망
2등급,50,26,?,사망
2등급,42,26,?,구조
2등급,57,10.5,?,사망
2등급,?,15.0458,?,사망
2등급,1,37.0042,10,구조
2등급,31,37.0042,?,사망
2등급,24,37.0042,10,구조
2등급,?,15.5792,?,사망
2등급,30,13,?,사망
2등급,40,16,?,사망
2등급,32,13.5,?,사망
2등급,30,13,?,사망
2등급,46,26,?,사망
2등급,13,19.5,14,구조
2등급,41,19.5,14,구조
2등급,19,10.5,B,구조
2등급,39,13,?,사망
2등급,48,13,?,사망
2등급,70,10.5,?,사망
2등급,27,13,?,사망
2등급,54,14,?,사망
2등급,39,26,?,사망
2등급,16,10.5,?,사망
2등급,62,9.6875,?,사망
2등급,32.5,30.0708,?,사망
2등급,14,30.0708,?,구조
2등급,2,26,D,구조
2등급,3,26,D,구조
2등급,36.5,26,?,사망
2등급,26,13,?,사망
2등급,19,36.75,?,사망
2등급,28,13.5,?,사망
2등급,20,13.8625,7,구조
2등급,29,10.5,11,구조
2등급,39,13,?,사망
2등급,22,10.5,13,구조
2등급,?,13.8625,9,구조
2등급,23,10.5,?,사망
2등급,29,13.8583,9,구조
2등급,28,10.5,?,사망
2등급,?,0,?,사망
2등급,50,26,12,구조
2등급,19,10.5,?,사망
2등급,?,15.05,?,사망
2등급,41,13,?,사망
2등급,21,21,12,구조
2등급,19,26,11,구조
2등급,43,21,?,사망
2등급,32,13,9,구조
2등급,34,13,?,사망
2등급,30,12.7375,14,구조
2등급,27,15.0333,?,사망
2등급,2,26,11,구조
2등급,8,26,11,구조
2등급,33,26,11,구조
2등급,36,10.5,?,사망
2등급,34,21,12,사망
2등급,30,21,?,구조
2등급,28,13,9,구조
2등급,23,15.0458,?,사망
2등급,0.8333,18.75,4,구조
2등급,3,18.75,4,구조
2등급,24,18.75,4,구조
2등급,50,10.5,13,구조
2등급,19,10.5,?,사망
2등급,21,10.5,12,구조
2등급,26,13,?,사망
2등급,25,13,?,사망
2등급,27,26,?,사망
2등급,25,26,12,구조
2등급,18,13,16,구조
2등급,20,36.75,11,구조
2등급,30,13,10,구조
2등급,59,13.5,?,사망
2등급,30,12.35,13,구조
2등급,35,10.5,?,사망
2등급,40,13,9,구조
2등급,25,13,?,사망
2등급,41,15.0458,?,사망
2등급,25,10.5,?,사망
2등급,18.5,13,?,사망
2등급,14,65,?,사망
2등급,50,10.5,9,구조
2등급,23,13,?,사망
2등급,28,12.65,?,구조
2등급,27,10.5,16,구조
2등급,29,21,?,사망
2등급,27,21,?,사망
2등급,40,13,?,사망
2등급,31,21,14,구조
2등급,30,21,?,사망
2등급,23,10.5,?,사망
2등급,31,21,10,구조
2등급,?,0,?,사망
2등급,12,15.75,9,구조
2등급,40,15.75,9,구조
2등급,32.5,13,12,구조
2등급,27,26,?,사망
2등급,29,26,10,구조
2등급,2,23,14,구조
2등급,4,23,14,구조
2등급,29,23,14,구조
2등급,0.9167,27.75,10,구조
2등급,5,27.75,10,구조
2등급,36,27.75,?,사망
2등급,33,27.75,10,구조
2등급,66,10.5,?,사망
2등급,?,12.875,?,사망
2등급,31,13,9,구조
2등급,?,13,14,구조
2등급,26,13.5,9,구조
2등급,24,13,?,사망
3등급,42,7.55,?,사망
3등급,13,20.25,?,사망
3등급,16,20.25,?,사망
3등급,35,20.25,A,구조
3등급,16,7.65,16,구조
3등급,25,7.65,A,구조
3등급,20,7.925,15,구조
3등급,18,7.2292,C,구조
3등급,30,7.25,?,사망
3등급,26,8.05,?,사망
3등급,40,9.475,?,사망
3등급,0.8333,9.35,11,구조
3등급,18,9.35,13,구조
3등급,26,18.7875,15,구조
3등급,26,7.8875,?,사망
3등급,20,7.925,?,사망
3등급,24,7.05,?,사망
3등급,25,7.05,?,사망
3등급,35,8.05,?,사망
3등급,18,8.3,?,사망
3등급,32,22.525,?,사망
3등급,19,7.8542,16,구조
3등급,4,31.275,?,사망
3등급,6,31.275,?,사망
3등급,2,31.275,?,사망
3등급,17,7.925,D,구조
3등급,38,7.775,?,사망
3등급,9,31.275,?,사망
3등급,11,31.275,?,사망
3등급,39,31.275,?,사망
3등급,27,7.7958,A,구조
3등급,26,7.775,?,사망
3등급,39,31.275,?,사망
3등급,20,7.8542,?,사망
3등급,26,7.8958,?,사망
3등급,25,17.8,?,사망
3등급,18,17.8,?,사망
3등급,24,7.775,?,사망
3등급,35,7.05,?,사망
3등급,5,31.3875,?,사망
3등급,9,31.3875,?,사망
3등급,3,31.3875,15,구조
3등급,13,31.3875,?,사망
3등급,5,31.3875,15,구조
3등급,40,31.3875,?,사망
3등급,23,7.7958,13,구조
3등급,38,31.3875,15,구조
3등급,45,7.225,C,구조
3등급,21,7.225,?,사망
3등급,23,7.05,?,사망
3등급,17,14.4583,?,사망
3등급,30,7.225,?,사망
3등급,23,7.8542,?,사망
3등급,13,7.2292,C,구조
3등급,20,7.225,?,사망
3등급,32,15.85,D,사망
3등급,33,15.85,?,구조
3등급,0.75,19.2583,C,구조
3등급,0.75,19.2583,C,구조
3등급,5,19.2583,C,구조
3등급,24,19.2583,C,구조
3등급,18,8.05,C,구조
3등급,40,7.225,?,사망
3등급,26,7.8958,?,사망
3등급,20,7.2292,15,구조
3등급,18,14.4542,?,사망
3등급,45,14.4542,?,사망
3등급,27,7.8792,?,사망
3등급,22,8.05,?,사망
3등급,19,8.05,?,사망
3등급,26,7.775,?,사망
3등급,22,9.35,?,사망
3등급,?,7.2292,?,사망
3등급,20,4.0125,?,사망
3등급,32,56.4958,C,구조
3등급,21,7.775,?,사망
3등급,18,7.75,?,사망
3등급,26,7.8958,?,사망
3등급,6,15.2458,?,사망
3등급,9,15.2458,?,사망
3등급,?,7.225,?,사망
3등급,?,15.2458,?,사망
3등급,?,7.75,?,사망
3등급,40,15.5,?,사망
3등급,32,15.5,?,사망
3등급,21,16.1,?,사망
3등급,22,7.725,13,구조
3등급,20,7.8542,?,사망
3등급,29,7.0458,?,사망
3등급,22,7.25,?,사망
3등급,22,7.7958,?,사망
3등급,35,8.05,?,사망
3등급,18.5,7.2833,?,사망
3등급,21,7.8208,13,구조
3등급,19,6.75,?,사망
3등급,18,7.8792,?,사망
3등급,21,8.6625,?,사망
3등급,30,8.6625,?,사망
3등급,18,8.6625,?,사망
3등급,38,8.6625,?,사망
3등급,17,8.6625,?,사망
3등급,17,8.6625,?,사망
3등급,21,7.75,?,사망
3등급,21,7.75,?,사망
3등급,21,8.05,?,사망
3등급,?,14.4583,?,사망
3등급,?,14.4583,?,사망
3등급,28,7.7958,?,사망
3등급,24,7.8542,?,사망
3등급,16,7.75,16,구조
3등급,37,7.75,?,사망
3등급,28,7.25,?,사망
3등급,24,8.05,?,사망
3등급,21,7.7333,?,사망
3등급,32,56.4958,C,구조
3등급,29,8.05,?,사망
3등급,26,14.4542,?,사망
3등급,18,14.4542,?,사망
3등급,20,7.05,?,사망
3등급,18,8.05,12,구조
3등급,24,7.25,?,사망
3등급,36,7.4958,?,사망
3등급,24,7.4958,?,사망
3등급,31,7.7333,?,사망
3등급,31,7.75,?,사망
3등급,22,7.75,13,구조
3등급,30,7.6292,?,사망
3등급,70.5,7.75,?,사망
3등급,43,8.05,?,사망
3등급,35,7.8958,?,사망
3등급,27,7.8958,?,사망
3등급,19,7.8958,?,사망
3등급,30,8.05,?,사망
3등급,9,15.9,2,구조
3등급,3,15.9,2,구조
3등급,36,15.9,2,구조
3등급,59,7.25,?,사망
3등급,19,8.1583,?,사망
3등급,17,16.1,12,구조
3등급,44,16.1,?,사망
3등급,17,8.6625,?,사망
3등급,22.5,7.225,?,사망
3등급,45,8.05,15,구조
3등급,22,10.5167,?,사망
3등급,19,10.1708,?,사망
3등급,30,6.95,15,구조
3등급,29,7.75,'13 15 B',구조
3등급,0.3333,14.4,?,사망
3등급,34,14.4,?,사망
3등급,28,14.4,?,사망
3등급,27,7.8958,?,사망
3등급,25,7.8958,?,사망
3등급,24,24.15,?,사망
3등급,22,8.05,?,사망
3등급,21,24.15,?,사망
3등급,17,8.05,?,사망
3등급,?,16.1,?,사망
3등급,?,16.1,16,구조
3등급,36.5,17.4,15,구조
3등급,36,17.4,13,구조
3등급,30,9.5,11,구조
3등급,16,9.5,?,사망
3등급,1,20.575,10,구조
3등급,0.1667,20.575,10,구조
3등급,26,20.575,?,사망
3등급,33,20.575,10,구조
3등급,25,7.8958,?,사망
3등급,?,7.8958,?,사망
3등급,?,7.8958,?,사망
3등급,22,7.25,?,사망
3등급,36,7.25,?,사망
3등급,19,7.8792,C,구조
3등급,17,7.8958,?,사망
3등급,42,8.6625,?,사망
3등급,43,7.8958,?,사망
3등급,?,7.2292,?,사망
3등급,32,7.75,?,사망
3등급,19,8.05,B,구조
3등급,30,12.475,13,구조
3등급,24,7.75,?,사망
3등급,23,8.05,?,구조
3등급,33,7.8958,?,사망
3등급,65,7.75,?,사망
3등급,24,7.55,D,구조
3등급,23,13.9,?,사망
3등급,22,13.9,16,구조
3등급,18,7.775,?,사망
3등급,16,7.775,?,사망
3등급,45,6.975,?,사망
3등급,?,7.225,?,사망
3등급,39,7.2292,?,사망
3등급,17,7.2292,?,사망
3등급,15,7.2292,?,사망
3등급,47,7.25,?,사망
3등급,5,12.475,13,구조
3등급,?,7.225,?,사망
3등급,40.5,15.1,?,사망
3등급,40.5,7.75,?,사망
3등급,?,7.05,15,구조
3등급,18,7.7958,?,사망
3등급,?,7.75,?,사망
3등급,?,7.75,?,사망
3등급,?,6.95,?,사망
3등급,26,7.8792,?,사망
3등급,?,7.75,?,사망
3등급,?,56.4958,13,구조
3등급,21,34.375,?,사망
3등급,9,34.375,?,사망
3등급,?,8.05,?,사망
3등급,18,34.375,?,사망
3등급,16,34.375,?,사망
3등급,48,34.375,?,사망
3등급,?,7.75,?,사망
3등급,?,7.25,?,사망
3등급,25,7.7417,?,사망
3등급,?,14.5,?,사망
3등급,?,7.8958,?,사망
3등급,22,8.05,?,사망
3등급,16,7.7333,16,구조
3등급,?,7.75,13,구조
3등급,9,20.525,'C D',구조
3등급,33,20.525,?,사망
3등급,41,7.85,?,사망
3등급,31,20.525,'C D',구조
3등급,38,7.05,?,사망
3등급,9,46.9,?,사망
3등급,1,46.9,?,사망
3등급,11,46.9,?,사망
3등급,10,46.9,?,사망
3등급,16,46.9,?,사망
3등급,14,46.9,?,사망
3등급,40,46.9,?,사망
3등급,43,46.9,?,사망
3등급,51,8.05,?,사망
3등급,32,8.3625,?,사망
3등급,?,8.05,?,사망
3등급,20,9.8458,?,사망
3등급,37,7.925,?,사망
3등급,28,7.925,?,사망
3등급,19,7.775,?,사망
3등급,24,8.85,?,사망
3등급,17,7.7333,?,사망
3등급,?,19.9667,?,사망
3등급,?,19.9667,?,사망
3등급,28,15.85,?,사망
3등급,24,15.85,15,구조
3등급,20,9.5,?,사망
3등급,23.5,7.2292,?,사망
3등급,41,14.1083,?,사망
3등급,26,7.8542,?,사망
3등급,21,7.8542,?,사망
3등급,45,14.1083,11,구조
3등급,?,7.55,?,사망
3등급,25,7.25,B,사망
3등급,?,6.8583,?,사망
3등급,11,18.7875,?,사망
3등급,?,7.75,16,구조
3등급,27,6.975,15,구조
3등급,?,56.4958,C,구조
3등급,18,6.75,?,사망
3등급,26,7.925,?,구조
3등급,23,7.925,?,사망
3등급,22,8.9625,C,구조
3등급,28,7.8958,?,사망
3등급,28,7.775,?,사망
3등급,?,7.75,?,사망
3등급,2,12.2875,15,구조
3등급,22,12.2875,15,구조
3등급,43,6.45,?,사망
3등급,28,22.525,?,사망
3등급,27,7.925,?,구조
3등급,?,7.75,?,사망
3등급,?,8.05,C,구조
3등급,42,7.65,?,사망
3등급,?,7.8875,C,구조
3등급,30,7.2292,?,사망
3등급,?,7.8958,?,사망
3등급,27,7.925,?,사망
